# ph	Lobs	err	L+BB	err	

59361.13	1.12e+42	2.52e+41	3.30e+42	2.24e+42
59361.25	1.11e+42	2.51e+41	3.27e+42	2.22e+42
59363.31	9.86e+41	2.25e+41	2.53e+42	1.46e+42
59363.32	9.86e+41	2.25e+41	2.53e+42	1.46e+42
59365.04	9.01e+41	2.10e+41	2.57e+42	1.78e+42
59365.36	8.87e+41	2.07e+41	2.59e+42	1.69e+42
59367.14	8.23e+41	1.95e+41	2.37e+42	1.58e+42
59367.21	8.21e+41	1.94e+41	2.36e+42	1.59e+42
59367.24	8.21e+41	1.94e+41	2.36e+42	1.59e+42
59367.27	8.21e+41	1.94e+41	2.36e+42	1.59e+42
59367.27	8.21e+41	1.94e+41	2.36e+42	1.59e+42
59367.29	8.19e+41	1.93e+41	2.36e+42	1.59e+42
59369.33	7.71e+41	1.83e+41	1.98e+42	1.22e+42
59369.34	7.70e+41	1.83e+41	1.97e+42	1.22e+42
59370.27	7.54e+41	1.79e+41	2.02e+42	1.36e+42
59371.48	7.32e+41	1.73e+41	1.96e+42	1.34e+42
59373.32	7.13e+41	1.69e+41	1.84e+42	1.19e+42
59374.78	7.02e+41	1.66e+41	1.89e+42	1.30e+42
59377.12	6.98e+41	1.66e+41	1.90e+42	1.28e+42
59393.28	7.76e+41	2.71e+41	1.80e+42	7.19e+41
59397.27	7.94e+41	2.82e+41	1.87e+42	8.10e+41
59408.29	6.79e+41	2.64e+41	1.97e+42	1.39e+42
59409.71	6.42e+41	2.57e+41	1.87e+42	1.32e+42
59414.89	5.75e+41	2.56e+41	1.68e+42	1.18e+42
59418.20	5.91e+41	2.81e+41	1.73e+42	1.22e+42
59509.27	3.87e+41	5.08e+41	1.16e+42	9.35e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2021zj_gcroi.txt and logL-bb_SN2021zj_gcroi.txt for simple LC files
# Methodology:
# filters used:gcroi
# redshift used:0.046
# extinction used:0.0123
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
